valence,year,acousticness,artistname,danceability,duration_ms,energy,explicit,id,instrumentalness,key,liveness,loudness,mode,trackname,popularity,release_date,speechiness,tempo,uri
0.792,1921,0.99,Fortugé,0.665,203800,0.231,0,0qt9g8zf2ZiQhy3FIx89xA,0.0,2,0.287,-14.116,1,La Victoire De La Madelon,0,1921,0.155,129.671,spotify:track:0qt9g8zf2ZiQhy3FIx89xA
0.425,1921,0.992,Ignacio Corsini,0.286,130200,0.177,0,0sIGoVO1yuIfpikLaKqqVY,0.932,7,0.11,-25.772,1,Por Ella - Remasterizado,0,1921-03-20,0.0431,167.352,spotify:track:0sIGoVO1yuIfpikLaKqqVY
0.403,1921,0.992,Ignacio Corsini,0.332,166987,0.179,0,0y3F8OUDFuB5bpWpXnQi7n,4.41e-06,0,0.4320000000000001,-20.937,1,A Mi Palomita - Remasterizado,0,1921-03-20,0.0443,75.704,spotify:track:0y3F8OUDFuB5bpWpXnQi7n
0.614,1921,0.991,Ignacio Corsini,0.484,159013,0.215,0,0yKcdafy64xX9n1ant34Ry,0.000546,4,0.1369999999999999,-22.22300000000001,0,Amurado Me Dejaste - Remasterizado,0,1921-03-20,0.106,76.277,spotify:track:0yKcdafy64xX9n1ant34Ry
0.185,1921,0.505,KHP Kridhamardawa Karaton Ngayogyakarta Hadiningrat,0.233,686664,0.00817,0,0yxeAe7MlS0UWZVdNZVZWw,0.000203,8,0.109,-37.311,1,Raja Manggala,5,1921,0.0305,108.143,spotify:track:0yxeAe7MlS0UWZVdNZVZWw
0.47,1921,0.7659999999999999,Mehmet Kemiksiz,0.453,337607,0.5589999999999999,0,107JTiqeqxj5P0ocypagMK,0.0104,9,0.213,-8.072000000000001,1,Eşin Var âşiyâ Var,1,1921,0.0329,156.077,spotify:track:107JTiqeqxj5P0ocypagMK
0.161,1921,0.384,Mehmet Kemiksiz,0.65,187977,0.443,0,17gxBcWBIkEFUZA0vN5khu,0.0,6,0.375,-9.478,0,Bir Zamanlar Bizde Millet,0,1921,0.0334,130.009,spotify:track:17gxBcWBIkEFUZA0vN5khu
0.7909999999999999,1921,0.991,"Ermanno Wolf-Ferrari, Arturo Toscanini",0.465,151187,0.284,0,18BvzCRC1jeAsj1U70YuRy,0.0225,9,0.146,-17.776,1,Overture,0,1921,0.0591,98.336,spotify:track:18BvzCRC1jeAsj1U70YuRy
0.0608,1921,0.975,KHP Kridhamardawa Karaton Ngayogyakarta Hadiningrat,0.37,401058,0.196,0,1OicZEUVSwpiAosSQm16D8,0.945,4,0.143,-15.531,1,Gati Main-main,1,1921,0.0449,116.65,spotify:track:1OicZEUVSwpiAosSQm16D8
0.077,1921,0.994,"Sergei Rachmaninoff, Ruth Laredo",0.248,117467,0.0876,0,1Pb4ebTZ4t8erRbLPPb8Pk,0.907,5,0.165,-25.786,1,"6 Songs, Op. 38: No. 3, Daisies (Version for Piano)",1,1921,0.0566,82.025,spotify:track:0Rd0PPc5WlCFrruVVQ0ZW3
0.6509999999999999,1921,0.992,Maurice Chevalier,0.522,170627,0.29,0,1RgXfAX9PrSfTKTFvOQxPR,0.0,0,0.381,-12.194,0,Je N'peux Pas Vivre Sans Amour,0,1921,0.0522,92.707,spotify:track:0GuaIRsSJ1fiZLdMM2UR2V
0.0594,1921,0.982,"Sergei Rachmaninoff, James Levine, Berliner Philharmoniker",0.279,831667,0.211,0,1SCWBjhk5WmXPxhDduD3HM,0.878,10,0.665,-20.096,1,"Piano Concerto No. 3 in D Minor, Op. 30: III. Finale. Alla breve",1,1921,0.0366,80.954,spotify:track:6ZVPpYGLxrQySjXkCxtziR
0.544,1921,0.185,THE GUY,0.5770000000000001,404062,0.422,1,1T2NGVgAoXjQPEjxTGFRZV,0.0349,1,0.178,-11.108,1,Love for Guns,0,1921-09-11,0.0575,79.997,spotify:track:1T2NGVgAoXjQPEjxTGFRZV
0.257,1921,0.969,Christopher Lynch,0.344,120067,0.131,0,1W2ONoo3OZW5opytgqpYdE,0.0,10,0.145,-14.261,0,Just A Little Bit Of Heaven,0,1921,0.0616,178.21200000000005,spotify:track:1W2ONoo3OZW5opytgqpYdE
0.525,1921,0.258,Mehmet Kemiksiz,0.6890000000000001,145371,0.537,0,1WOXWCjKZzJJRSMJcrLrK1,4.4e-06,1,0.0468,-9.843,0,Ey Bülbül-i Ter Zebân-i İrf,0,1921,0.0282,107.84,spotify:track:1WOXWCjKZzJJRSMJcrLrK1
