user_id,artistname,trackname,playlistname,id,artists,key,danceability,liveness,valence,year,acousticness,duration_ms,energy,explicit,instrumentalness,loudness,mode,popularity,speechiness,tempo,release_date
944c80d26922ae634d6ce445b1fdff7f,Little Jackie,The World Should Revolve Around Me,Starred944c80d26922ae634d6ce445b1fdff7f,13ia9ZfJKjowulk0XyDiDA,Little Jackie,10,0.492,0.0629,0.926,2010,0.00339,179840,0.895,1,0,-2.485,1,28,0.126,198.9,2010-09-01
944c80d26922ae634d6ce445b1fdff7f,Passenger,The Wrong Direction,Starred944c80d26922ae634d6ce445b1fdff7f,3IcFVo7OEFaKd9qQJiG1VQ,Passenger,5,0.678,0.102,0.792,2013,0.361,221240,0.661,0,1.05e-06,-6.357,1,40,0.0435,127.982,2013-08-26
944c80d26922ae634d6ce445b1fdff7f,Doves,There Goes The Fear,Starred944c80d26922ae634d6ce445b1fdff7f,2wzTHuw8nhFSXUU27x0PFa,Doves,5,0.499,0.0258,0.509,2002,8.6e-05,414080,0.975,0,0.0721,-4.504,1,46,0.0538,109.997,2002-01-01
944c80d26922ae634d6ce445b1fdff7f,Babyshambles,There She Goes,Starred944c80d26922ae634d6ce445b1fdff7f,5Y3wYkAVGMiUB3Wbq7f3EG,Babyshambles,11,0.721,0.304,0.487,2007,0.0426,215072,0.421,0,5.69e-06,-9.476,0,37,0.0574,94.031,2007-08-27
944c80d26922ae634d6ce445b1fdff7f,James Blunt,These Are The Words,Starred944c80d26922ae634d6ce445b1fdff7f,0jc9vlikooqX0ccc7nNJ1n,James Blunt,5,0.647,0.109,0.847,2010,0.0551,202693,0.784,0,0,-6.522,0,35,0.0254,128.057,2010-11-08
944c80d26922ae634d6ce445b1fdff7f,Beans On Toast,Things,Starred944c80d26922ae634d6ce445b1fdff7f,2mFkvsHRKkevaYxfwtuXZa,Beans on Toast,6,0.793,0.121,0.766,2013,0.204,173627,0.628,1,0,-11.218,1,27,0.0694,105.997,2013-12-01
944c80d26922ae634d6ce445b1fdff7f,Passenger,Things That Stop You Dreaming,Starred944c80d26922ae634d6ce445b1fdff7f,4kVvS4gbnTpZSnXwT3ht3q,Passenger,4,0.453,0.107,0.191,2013,0.389,215347,0.517,0,3.1e-06,-8.528,1,32,0.0416,89.202,2013-08-26
944c80d26922ae634d6ce445b1fdff7f,Ed Sheeran,Thinking Out Loud,Starred944c80d26922ae634d6ce445b1fdff7f,34gCuhDGsG4bRPIf9bb02f,Ed Sheeran,2,0.781,0.184,0.591,2014,0.474,281560,0.445,0,0,-6.061,1,80,0.0295,78.998,2014-06-21
944c80d26922ae634d6ce445b1fdff7f,The Script,This = Love,Starred944c80d26922ae634d6ce445b1fdff7f,0axZ1pkds89AVTvko3zg7z,The Script,9,0.319,0.0621,0.579,2010,0.057,260693,0.753,0,0,-4.745,1,36,0.0457,93.806,2010-09-13
944c80d26922ae634d6ce445b1fdff7f,Raven-Symoné,This Is My Time,Starred944c80d26922ae634d6ce445b1fdff7f,5BXOeK3afKmQHYnY89kRXa,Raven-Symoné,9,0.543,0.107,0.298,2004,0.0117,266507,0.679,0,5.51e-06,-5.575,1,33,0.0286,107.953,2004-01-01
